Date,Open,High,Low,Close,Volume,Adj Close
2016-02-04,28.15,31.4,27.610001,30.5,361600,30.5
2016-02-05,31.299999,35.599998,30.629998999999998,33.91,376500,33.91
2016-02-08,34.0,34.244999,31.370001000000002,31.52,102700,31.52
2016-02-09,30.860001,30.860001,27.0,27.66,360900,27.66
2016-02-10,27.98,27.98,25.299999,26.879998999999998,469800,26.879998999999998
2016-02-11,26.48,26.74,22.51,24.1,497000,24.1
2016-02-12,24.09,24.610001,23.200001,23.98,128000,23.98
2016-02-16,24.52,26.4,23.6,25.129998999999998,228000,25.129998999999998
2016-02-17,25.440001000000002,26.74,24.6,26.059998999999998,244800,26.059998999999998
2016-02-18,26.940001000000002,27.77,25.41,26.65,283300,26.65
2016-02-19,26.0,27.530001000000002,25.6,27.030001000000002,159500,27.030001000000002
2016-02-22,27.0,29.0,27.0,27.469998999999998,106300,27.469998999999998
2016-02-23,26.700001,28.396,26.639999,27.15,269400,27.15
2016-02-24,26.5,28.034000000000002,26.5,27.84,76400,27.84
2016-02-25,28.440001000000002,29.68,27.799999,28.950001,206100,28.950001
2016-02-26,30.27,30.27,28.379998999999998,29.75,131400,29.75
2016-02-29,29.5,30.514,28.68,29.27,247000,29.27
2016-03-01,29.940001000000002,30.499001,29.41,29.889999,176200,29.889999
2016-03-02,29.799999,31.25,29.75,31.18,218000,31.18
2016-03-03,31.0,32.240002000000004,30.950001,32.150002,398500,32.150002
2016-03-04,32.970001,33.5,31.42,32.369999,164900,32.369999
2016-03-07,31.354,32.5,29.309998999999998,29.790001,198500,29.790001
2016-03-08,29.790001,29.85,28.02,28.700001,212600,28.700001
2016-03-09,28.43,29.48,27.76,28.77,96600,28.77
2016-03-10,29.0,29.709999,27.174999,28.0,163900,28.0
2016-03-11,27.98,28.1,26.700001,27.879998999999998,95600,27.879998999999998
2016-03-14,28.870001000000002,28.870001000000002,27.0,27.0,168200,27.0
2016-03-15,27.0,27.853001000000003,26.52,26.780001000000002,78300,26.780001000000002
2016-03-16,26.530001000000002,26.889999,25.5,25.98,102400,25.98
2016-03-17,25.82,26.799999,25.280001000000002,26.030001000000002,50000,26.030001000000002
2016-03-18,26.85,27.809998999999998,25.285,27.690001000000002,111600,27.690001000000002
2016-03-21,27.0,30.674999,27.0,29.299999,138200,29.299999
2016-03-22,29.42,30.790001,28.743000000000002,30.52,132100,30.52
2016-03-23,30.99,31.66,27.049999,28.25,172600,28.25
2016-03-24,26.974001,29.445,26.959999,28.030001000000002,54900,28.030001000000002
2016-03-28,27.9,27.9,26.790001,27.030001000000002,36000,27.030001000000002
2016-03-29,27.0,28.24,27.0,27.67,27100,27.67
2016-03-30,28.0,29.01,28.0,28.6,35400,28.6
2016-03-31,28.27,29.879998999999998,28.27,29.309998999999998,50700,29.309998999999998
2016-04-01,29.129998999999998,29.780001000000002,28.5,29.209999,48200,29.209999
2016-04-04,28.700001,30.5,28.700001,29.969998999999998,48700,29.969998999999998
2016-04-05,29.290001,30.0,28.51,29.51,74700,29.51
2016-04-06,29.99,32.0,29.549999,31.58,147700,31.58
2016-04-07,31.254998999999998,33.240002000000004,29.889999,31.299999,119500,31.299999
2016-04-08,31.790001,31.790001,29.58,31.25,28400,31.25
2016-04-11,33.169998,33.169998,30.41,32.459998999999996,120100,32.459998999999996
2016-04-12,31.82,32.98,30.868000000000002,31.530001000000002,130600,31.530001000000002
2016-04-13,31.58,32.75,31.08,31.540001,56200,31.540001
2016-04-14,31.700001,32.43,31.059998999999998,31.290001,63800,31.290001
2016-04-15,31.110001,31.92,30.629998999999998,31.92,88000,31.92
2016-04-18,31.74,31.98,31.0,31.07,11400,31.07
2016-04-19,31.5,31.870001000000002,30.104,31.16,171000,31.16
2016-04-20,31.190001000000002,31.190001000000002,29.995001000000002,30.190001000000002,53500,30.190001000000002
2016-04-21,30.200001,31.07,28.701,29.709999,84000,29.709999
2016-04-22,29.709999,31.945,29.200001,29.91,133700,29.91
2016-04-25,30.129998999999998,30.799999,28.559998999999998,28.969998999999998,173400,28.969998999999998
2016-04-26,29.120001000000002,29.719998999999998,28.5,28.6,140200,28.6
2016-04-27,28.870001000000002,29.120001000000002,26.52,27.27,98500,27.27
2016-04-28,27.5,27.5,26.02,26.879998999999998,66500,26.879998999999998
2016-04-29,26.51,28.059998999999998,26.42,27.76,49800,27.76
2016-05-02,27.540001,27.940001000000002,27.049999,27.17,6400,27.17
2016-05-03,27.200001,27.924999,26.549999,26.549999,61700,26.549999
2016-05-04,26.67,26.67,26.02,26.26,39400,26.26
2016-05-05,26.5,26.65,26.25,26.25,15600,26.25
2016-05-06,26.120001000000002,26.969998999999998,26.01,26.24,19300,26.24
2016-05-09,26.26,28.129998999999998,26.26,27.67,48400,27.67
2016-05-10,27.68,28.469998999999998,26.639999,27.77,37100,27.77
2016-05-11,27.77,28.48,27.66,28.190001000000002,9300,28.190001000000002
2016-05-12,28.139999,28.139999,26.690001000000002,26.85,32800,26.85
2016-05-13,26.74,28.0,26.73,27.5,53500,27.5
2016-05-16,27.790001,28.65,26.809998999999998,27.65,56100,27.65
2016-05-17,27.575001,28.1,26.82,27.1,41400,27.1
2016-05-18,27.681998999999998,28.299999,26.790001,27.309998999999998,28700,27.309998999999998
2016-05-19,27.309998999999998,27.575001,26.290001,27.09,27500,27.09
2016-05-20,27.129998999999998,27.43,26.780001000000002,26.92,11700,26.92
2016-05-23,27.15,28.190001000000002,27.0,27.82,91500,27.82
2016-05-24,27.82,28.415001,27.0,27.620001000000002,54900,27.620001000000002
2016-05-25,28.031999999999996,28.51,27.700001,27.83,31900,27.83
2016-05-26,27.6,28.1,27.540001,27.58,11900,27.58
2016-05-27,28.5,28.5,27.0,27.26,142300,27.26
2016-05-31,27.469998999999998,28.450001,27.469998999999998,28.25,58800,28.25
2016-06-01,28.35,29.719998999999998,28.245001000000002,29.459999,105300,29.459999
2016-06-02,29.450001,31.370001000000002,29.450001,31.030001000000002,51100,31.030001000000002
2016-06-03,31.0,32.530998,29.34,31.690001000000002,116100,31.690001000000002
2016-06-06,31.700001,33.310001,31.645,33.110001000000004,143600,33.110001000000004
2016-06-07,33.209998999999996,33.209998999999996,32.060001,32.529999,48900,32.529999
2016-06-08,32.759997999999996,33.189999,31.49,32.049999,72300,32.049999
2016-06-09,31.49,31.5,30.0,30.27,37200,30.27
2016-06-10,30.1,32.799999,29.049999,29.67,47300,29.67
2016-06-13,30.799999,30.799999,29.1,29.219998999999998,28800,29.219998999999998
2016-06-14,29.49,29.889999,28.465,29.610001,67900,29.610001
2016-06-15,29.997,31.24,29.389999,31.049999,33600,31.049999
2016-06-16,29.91,30.35,29.110001,29.92,51400,29.92
2016-06-17,30.25,31.110001,29.5,31.1,50700,31.1
2016-06-20,31.549999,31.549999,29.610001,29.969998999999998,30300,29.969998999999998
2016-06-21,29.860001,31.77,27.799999,31.77,44200,31.77
2016-06-22,31.799999,32.259997999999996,31.02,31.98,118700,31.98
2016-06-23,32.080002,32.169998,30.74,30.74,28800,30.74
2016-06-24,29.15,30.5,28.15,28.24,104100,28.24
2016-06-27,28.25,30.26,28.0,28.0,79800,28.0
2016-06-28,28.4,29.709999,28.110001,29.530001000000002,46100,29.530001000000002
2016-06-29,29.290001,30.35,28.450001,30.030001000000002,46700,30.030001000000002
2016-06-30,30.08,30.43,29.1,29.799999,40800,29.799999
2016-07-01,30.0,30.5,29.184998999999998,29.639999,40800,29.639999
2016-07-05,29.66,30.346001,28.91,29.32,24800,29.32
2016-07-06,29.07,29.6,28.75,28.75,17100,28.75
2016-07-07,28.83,30.200001,28.799999,28.809998999999998,61800,28.809998999999998
2016-07-08,29.0,29.6,28.860001,29.18,25800,29.18
2016-07-11,29.4,30.478001000000003,29.1,30.059998999999998,55800,30.059998999999998
2016-07-12,30.0,30.34,28.959999,29.5,59400,29.5
2016-07-13,29.540001,29.959999,29.299999,29.75,49600,29.75
2016-07-14,29.790001,29.790001,28.496,29.389999,49200,29.389999
2016-07-15,29.860001,30.0,28.32,29.540001,56400,29.540001
2016-07-18,29.379998999999998,29.540001,28.58,28.73,55200,28.73
2016-07-19,28.790001,29.07,28.01,28.01,42400,28.01
2016-07-20,28.16,29.853001000000003,28.0,29.120001000000002,119000,29.120001000000002
2016-07-21,29.25,29.622,27.445,27.629998999999998,80800,27.629998999999998
2016-07-22,27.719998999999998,28.190001000000002,27.01,27.299999,41500,27.299999
2016-07-25,27.280001000000002,27.530001000000002,27.0,27.07,39100,27.07
2016-07-26,27.000999,27.799999,26.76,26.91,37200,26.91
2016-07-27,27.0,27.799999,26.799999,27.379998999999998,23300,27.379998999999998
2016-07-28,27.440001000000002,27.91,26.84,27.4,47500,27.4
2016-07-29,27.48,27.827999,26.24,26.24,62000,26.24
2016-08-01,26.0,26.25,24.530001000000002,25.93,141800,25.93
2016-08-02,25.76,26.0,25.5,25.719998999999998,67900,25.719998999999998
2016-08-03,26.292999,26.98,25.83,26.59,48300,26.59
2016-08-04,26.780001000000002,27.041999999999998,26.049999,26.110001,24100,26.110001
